City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Provideniya,RU,64.3833,-173.3,32.11,93,100,26.84,mist
80,Fairbanks,US,64.8378,-147.7164,19.81,72,100,5.75,overcast clouds
81,Touros,BR,-5.1989,-35.4608,81.5,75,100,10.65,overcast clouds
82,Punta Alta,AR,-38.8759,-62.0736,64.33,74,92,12.21,overcast clouds
83,Port Hedland,AU,-20.3167,118.5667,89.65,66,35,6.91,scattered clouds
84,Derzhavinsk,KZ,51.1,66.3167,22.48,96,100,7.38,overcast clouds
85,Frutigen,CH,46.5878,7.6475,39.33,85,100,5.68,overcast clouds
86,Ponta Do Sol,PT,32.6667,-17.1,63.23,60,35,11.5,scattered clouds
87,Waipawa,NZ,-41.4122,175.5153,68.63,53,0,13.11,clear sky
88,Urumqi,CN,43.801,87.6005,4.15,78,10,2.24,mist
89,Djambala,CG,-2.5447,14.7533,68.79,87,100,1.9,light rain
90,Cabo San Lucas,MX,22.8909,-109.9124,72.7,78,6,5.82,clear sky
91,Bocaiuva,BR,-17.1078,-43.815,74.91,92,98,3.4,light rain
92,Tucuman,AR,-26.8241,-65.2226,64.4,100,100,9.22,overcast clouds
93,Sorland,NO,67.667,12.6934,32.25,50,8,2.64,clear sky
94,Yellowknife,CA,62.456,-114.3525,-15.45,77,20,9.22,few clouds
95,Tanout,NE,14.9709,8.8879,61.14,14,0,12.5,clear sky
96,Pisco,PE,-13.7,-76.2167,71.65,88,100,6.91,mist
97,Porto Walter,BR,-8.2686,-72.7439,69.66,99,67,1.63,broken clouds
98,Nara,JP,34.6851,135.8049,44.96,38,4,17.54,clear sky
99,Tual,ID,-5.6667,132.75,81.81,80,100,26.51,moderate rain
100,Nikolskoye,RU,59.7035,30.7861,34.88,99,100,5.64,overcast clouds
101,Hobart,AU,-42.8794,147.3294,71.02,40,20,5.75,few clouds
102,Tateyama,JP,34.9833,139.8667,48.09,52,10,20.2,clear sky
103,Coquimbo,CL,-29.9533,-71.3436,62.33,82,0,6.91,clear sky
104,Port Hardy,CA,50.6996,-127.4199,37.58,44,20,17.27,few clouds
105,Laramie,US,41.3114,-105.5911,10.02,83,100,13.8,mist
106,Hilo,US,19.7297,-155.09,84.52,81,100,11.5,overcast clouds
107,Narsaq,GL,60.9167,-46.05,-1.98,75,92,7.27,overcast clouds
108,Brae,GB,60.3964,-1.353,39.11,60,100,19.35,overcast clouds
109,Ketchikan,US,55.3422,-131.6461,34.27,29,0,11.5,clear sky
110,Goure,NE,13.9835,10.2704,62.46,13,0,10.18,clear sky
111,Sisimiut,GL,66.9395,-53.6735,-15.05,97,69,4.88,broken clouds
112,Kaputa,ZM,-8.4689,29.6619,67.6,88,100,3.11,overcast clouds
113,Severnyy,RU,50.677,36.5532,37.44,81,0,11.18,clear sky
114,Dijon,FR,47.3167,5.0167,44.33,76,0,13.8,clear sky
115,Ushuaia,AR,-54.8,-68.3,55.06,76,75,21.85,light intensity drizzle
116,Dudinka,RU,69.4058,86.1778,15.62,90,100,21.9,overcast clouds
117,Te Anau,NZ,-45.4167,167.7167,56.84,94,100,3.62,overcast clouds
118,Acajutla,SV,13.5928,-89.8275,83.8,71,71,8.77,broken clouds
119,Juneau,US,58.3019,-134.4197,28.45,26,40,14.97,scattered clouds
120,Matay,EG,28.419,30.7792,55.76,45,0,2.64,clear sky
121,Zhengjiatun,CN,43.5064,123.5064,5.16,65,42,6.76,scattered clouds
122,Homer,US,59.6425,-151.5483,40.89,75,100,21.0,overcast clouds
123,Port Lincoln,AU,-34.7333,135.8667,66.49,60,62,8.88,broken clouds
124,Esperance,AU,-33.8667,121.9,80.44,44,2,7.25,clear sky
125,Sosnovo,RU,60.5514,30.2144,34.45,97,100,6.67,light snow
126,Hovd,MN,48.0056,91.6419,-6.93,88,42,1.7,scattered clouds
127,Broome,US,42.2506,-75.833,41.9,63,57,1.99,broken clouds
128,Lavrentiya,RU,65.5833,-171.0,25.14,96,100,6.51,snow
129,Redmond,US,47.674,-122.1215,40.96,65,47,8.01,scattered clouds
130,Yulara,AU,-25.2406,130.9889,84.04,30,0,10.36,clear sky
131,Walvis Bay,NA,-22.9575,14.5053,71.1,83,84,12.66,broken clouds
132,Nurota,UZ,40.5614,65.6886,39.29,67,100,5.88,overcast clouds
133,Lagoa,PT,39.05,-27.9833,56.66,63,8,3.6,clear sky
134,Jaguarari,BR,-10.2639,-40.1958,70.61,79,49,5.14,scattered clouds
135,Pervomayskiy,RU,53.2485,40.2871,33.13,98,100,17.58,light snow
136,Umm Lajj,SA,25.0213,37.2685,66.61,44,5,8.25,clear sky
137,Willowmore,ZA,-33.2926,23.4895,60.44,78,92,4.14,overcast clouds
138,Seymchan,RU,62.8833,152.4333,-33.32,91,73,1.79,broken clouds
139,La Ronge,CA,55.1001,-105.2842,-16.35,63,0,3.44,clear sky
140,Cockburn Town,TC,21.4612,-71.1419,75.16,73,40,12.66,scattered clouds
141,Jiangkou,CN,25.4872,119.1986,46.29,81,99,16.17,overcast clouds
142,Trairi,BR,-3.2778,-39.2689,79.09,81,0,10.33,clear sky
143,Ballina,AU,-28.8667,153.5667,82.36,69,40,12.66,scattered clouds
144,Paso De Carrasco,UY,-34.8603,-56.0522,69.94,83,75,5.75,broken clouds
145,Roebourne,AU,-20.7833,117.1333,93.92,40,59,8.39,broken clouds
146,Taksimo,RU,56.3444,114.8794,4.42,84,98,1.07,overcast clouds
147,Chokurdakh,RU,70.6333,147.9167,-36.92,98,79,6.38,broken clouds
148,Amapa,BR,1.0,-52.0,72.25,99,100,1.88,overcast clouds
149,Marsa Matruh,EG,31.3525,27.2453,59.2,51,0,11.5,clear sky
150,Wasilla,US,61.5814,-149.4394,36.9,92,100,11.5,mist
151,Eenhana,NA,-17.4667,16.3333,73.15,90,40,5.44,light rain
152,Ballater,GB,57.0493,-3.0402,40.3,84,100,9.08,overcast clouds
153,Tuatapere,NZ,-46.1333,167.6833,55.26,78,100,12.84,overcast clouds
154,Olafsvik,IS,64.8945,-23.7142,37.09,81,99,9.44,light rain
155,Port Moresby,PG,-9.4431,147.1797,89.02,58,40,11.5,haze
156,Castro,BR,-24.7911,-50.0119,63.5,88,0,1.36,clear sky
157,Nouadhibou,MR,20.931,-17.0347,64.38,68,100,16.11,overcast clouds
158,Esso,RU,55.9333,158.7,15.82,85,100,3.94,overcast clouds
159,Kununurra,AU,-15.7667,128.7333,91.38,58,21,8.05,few clouds
160,Kempele,FI,64.9131,25.5034,6.82,85,0,4.61,clear sky
161,Tarbert,GB,55.8628,-5.4162,46.51,93,100,14.72,overcast clouds
162,Tottori,JP,35.5,134.2333,33.87,86,75,18.41,shower snow
163,Srednekolymsk,RU,67.45,153.6833,-29.92,95,83,5.5,broken clouds
164,Kazanskaya,RU,45.4106,40.4361,39.11,92,34,7.87,scattered clouds
165,Marystown,CA,47.1666,-55.1483,36.86,100,90,5.99,overcast clouds
166,Muskegon,US,43.3,-86.1334,34.21,86,100,12.66,overcast clouds
167,Bandraboua,YT,-12.7044,45.1223,82.08,76,100,11.79,light rain
168,Saldanha,ZA,-33.0117,17.9442,59.05,88,0,10.89,clear sky
169,Hay River,CA,60.8156,-115.7999,-14.82,76,20,4.61,few clouds
170,Vardo,NO,70.3705,31.1107,27.36,61,100,2.71,light snow
