City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saint-Philippe,RE,2022-02-08 20:45:02,-21.3585,55.7679,76.59,84,71,9.26
68,Kutum,SD,2022-02-08 20:45:03,14.2,24.6667,59.16,15,1,7.18
69,Naryan-Mar,RU,2022-02-08 20:45:03,67.6713,53.087,8.01,93,98,15.03
70,Cookeville,US,2022-02-08 20:45:04,36.1628,-85.5016,53.92,38,0,4.61
71,Marathon,US,2022-02-08 20:45:04,44.9,-89.7668,36.14,62,0,9.22
72,Beringovskiy,RU,2022-02-08 20:45:04,63.05,179.3167,-21.53,91,5,12.06
73,Discovery Bay,US,2022-02-08 20:45:05,37.9085,-121.6002,73.11,39,0,4.61
74,Nikolskoye,RU,2022-02-08 20:45:05,59.7035,30.7861,28.8,96,100,4.92
75,Bathsheba,BB,2022-02-08 20:45:06,13.2167,-59.5167,81.21,57,20,14.97
76,Olafsvik,IS,2022-02-08 20:45:06,64.8945,-23.7142,30.54,76,95,34.27
77,Namibe,AO,2022-02-08 20:45:07,-15.1961,12.1522,73.98,77,100,11.36
78,Hobart,AU,2022-02-08 20:45:07,-42.8794,147.3294,57.11,89,20,6.91
79,Pevek,RU,2022-02-08 20:45:07,69.7008,170.3133,-32.17,100,47,5.26
80,Fortuna,US,2022-02-08 20:45:08,40.5982,-124.1573,58.12,74,0,8.05
81,Pisco,PE,2022-02-08 20:45:08,-13.7,-76.2167,78.03,68,0,10.36
82,Yulara,AU,2022-02-08 20:45:08,-25.2406,130.9889,75.04,88,100,2.3
83,Tiksi,RU,2022-02-08 20:45:09,71.6872,128.8694,-21.26,99,67,8.84
84,Abu Samrah,SY,2022-02-08 20:45:09,35.3029,37.1841,49.84,78,48,4.07
85,Namatanai,PG,2022-02-08 20:45:09,-3.6667,152.4333,80.15,80,100,3.56
86,Iqaluit,CA,2022-02-08 20:45:10,63.7506,-68.5145,-0.31,84,100,9.22
87,Ilulissat,GL,2022-02-08 20:45:10,69.2167,-51.1,-5.78,59,20,18.41
88,Hun,LY,2022-02-08 20:45:11,29.1268,15.9477,54.05,66,12,8.77
89,Batagay-Alyta,RU,2022-02-08 20:46:11,67.8006,130.4114,-32.66,97,62,4.0
90,Lidkoping,SE,2022-02-08 20:46:11,58.5052,13.1577,39.09,3,9,17.22
91,George Town,MY,2022-02-08 20:44:28,5.4112,100.3354,78.73,92,20,0.0
92,New Norfolk,AU,2022-02-08 20:46:12,-42.7826,147.0587,56.75,75,67,3.13
93,Chernyshevskiy,RU,2022-02-08 20:46:12,63.0128,112.4714,-26.41,100,96,3.29
94,Hudson Bay,CA,2022-02-08 20:46:13,52.85,-102.3842,23.92,85,87,12.71
95,Dali,CN,2022-02-08 20:46:13,25.7,100.1833,36.59,74,8,4.23
96,Puerto Ayora,EC,2022-02-08 20:46:13,-0.7393,-90.3518,82.36,72,54,10.89
97,Sfantu Gheorghe,RO,2022-02-08 20:46:14,45.8667,25.7833,31.66,90,97,12.24
98,Avera,US,2022-02-08 20:46:14,33.194,-82.5271,53.74,43,100,3.47
99,Porto Walter,BR,2022-02-08 20:46:14,-8.2686,-72.7439,82.65,67,85,0.18
100,Caravelas,BR,2022-02-08 20:46:15,-17.7125,-39.2481,78.85,83,99,8.19
101,Faya,SA,2022-02-08 20:46:15,18.3851,42.4509,52.32,68,23,3.13
102,Pavlodar,KZ,2022-02-08 20:46:16,52.3,76.95,-0.6,85,100,0.0
103,Hermanus,ZA,2022-02-08 20:46:16,-34.4187,19.2345,67.8,91,70,6.91
104,The Valley,AI,2022-02-08 20:46:16,18.217,-63.0578,82.26,61,20,11.5
105,Hanyang,CN,2022-02-08 20:46:17,32.1371,105.5126,32.65,78,91,1.54
106,Newberry,US,2022-02-08 20:46:17,34.2746,-81.6187,56.08,61,84,3.38
107,Hervey Bay,AU,2022-02-08 20:42:07,-25.2986,152.8535,69.04,89,36,11.01
