City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
102,Tateyama,JP,48.09,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
103,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
106,Hilo,US,84.52,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
112,Kaputa,ZM,67.6,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
114,Dijon,FR,44.33,clear sky,47.3167,5.0167,Hôtel Restaurant Campanile Dijon Gare
115,Ushuaia,AR,55.06,light intensity drizzle,-54.8,-68.3,Albatross Hotel
117,Te Anau,NZ,56.84,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
118,Acajutla,SV,83.8,broken clouds,13.5928,-89.8275,Laureles
120,Matay,EG,55.76,clear sky,28.419,30.7792,Nag Aespen
122,Homer,US,40.89,overcast clouds,59.6425,-151.5483,Beluga Lake Lodge
123,Port Lincoln,AU,66.49,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
124,Esperance,AU,80.44,clear sky,-33.8667,121.9,Hospitality Esperance
127,Broome,US,41.9,broken clouds,42.2506,-75.833,Chenango Valley State Park
129,Redmond,US,40.96,scattered clouds,47.674,-122.1215,Seattle Marriott Redmond
130,Yulara,AU,84.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
133,Lagoa,PT,56.66,clear sky,39.05,-27.9833,Casa Das Faias
134,Jaguarari,BR,70.61,scattered clouds,-10.2639,-40.1958,Hotel Quintal De Casa
136,Umm Lajj,SA,66.61,clear sky,25.0213,37.2685,Moon light Furnished Units
137,Willowmore,ZA,60.44,overcast clouds,-33.2926,23.4895,Jumper's Place
140,Cockburn Town,TC,75.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
141,Jiangkou,CN,46.29,overcast clouds,25.4872,119.1986,DFM Hotel
142,Trairi,BR,79.09,clear sky,-3.2778,-39.2689,janelas do mar
143,Ballina,AU,82.36,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
144,Paso De Carrasco,UY,69.94,broken clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
149,Marsa Matruh,EG,59.2,clear sky,31.3525,27.2453,Beau Site
152,Ballater,GB,40.3,overcast clouds,57.0493,-3.0402,Deeside Inn
153,Tuatapere,NZ,55.26,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
155,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
156,Castro,BR,63.5,clear sky,-24.7911,-50.0119,CHACARA BAILLY
157,Nouadhibou,MR,64.38,overcast clouds,20.931,-17.0347,El Medina
161,Tarbert,GB,46.51,overcast clouds,55.8628,-5.4162,Knap Guest House
167,Bandraboua,YT,82.08,light rain,-12.7044,45.1223,HASSANI Mikidachi
168,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
171,Vila Franca Do Campo,PT,57.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
172,Portland,US,41.45,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
173,Minden,DE,42.33,broken clouds,52.2833,8.9167,Victoria Hotel Minden
175,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
176,Nelson Bay,AU,80.29,light rain,-32.7167,152.15,Mantra Nelson Bay
177,Nishihara,JP,60.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
179,Houston,US,74.48,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
180,Harper,LR,78.55,overcast clouds,4.375,-7.7169,Screensaver
181,Luena,AO,58.68,broken clouds,-11.7833,19.9167,Hotel Kandamba
182,Jizan,SA,74.34,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
184,Zaozerne,UA,49.95,scattered clouds,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
188,Carlsbad,US,58.51,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
189,Sao Pedro,BR,70.72,clear sky,-22.5486,-47.9139,Hotel Fazenda Samambaia
190,Kalabo,ZM,65.48,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
191,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
192,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
194,Pokaran,IN,64.38,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
195,Ancud,CL,56.73,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
196,Kaeo,NZ,78.33,clear sky,-35.1,173.7833,Bushido Lodge
199,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
201,Mar Del Plata,AR,70.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
202,Gubbio,IT,43.25,overcast clouds,43.3545,12.5725,Park Hotel ai Cappuccini
203,Mitsamiouli,KM,77.29,thunderstorm with light rain,-11.3847,43.2844,Foyer ADM
204,Lata,PT,46.72,clear sky,40.1629,-8.3327,Casa Maquia
205,Ucluelet,CA,44.91,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
206,Aubenas,FR,46.17,broken clouds,44.6201,4.3899,ibis Aubenas
207,Soure,BR,78.6,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
209,Katsuura,JP,48.18,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
211,Port Elizabeth,ZA,59.29,clear sky,-33.918,25.5701,39 On Nile Guest House
212,Fortuna,US,44.92,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
218,Popondetta,PG,89.78,scattered clouds,-8.7537,148.2534,Timos Transit House
219,Alofi,NU,75.09,shower rain,-19.0595,-169.9187,Taloa Heights
220,Am Timan,TD,71.8,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
221,Monte Alegre,BR,75.96,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
223,Hualmay,PE,72.34,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
224,Hithadhoo,MV,82.6,overcast clouds,-0.6,73.0833,Scoop Guest House
225,Hasaki,JP,45.28,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
226,Almeria,ES,51.13,clear sky,37.1667,-2.3333,Casa Rural El Laurel
227,Guerrero Negro,MX,59.85,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
228,Lebu,CL,57.09,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
239,Dingle,PH,82.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
240,Flinders,AU,74.17,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
241,Bandarbeyla,SO,76.1,scattered clouds,9.4942,50.8122,JABIR HOTEL
242,Dunedin,NZ,61.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
244,Cumanayagua,CU,74.95,clear sky,22.1494,-80.2022,Hotel Pasaje
246,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
251,Maxixe,MZ,76.51,broken clouds,-23.8597,35.3472,Oceano
252,Wad Madani,SD,67.77,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
254,Iralaya,HN,77.16,overcast clouds,15.0,-83.2333,Iglesia morava renovada
256,Abha,SA,49.82,clear sky,18.2164,42.5053,Abha Hotel
258,Evanston,US,50.11,overcast clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
261,Batemans Bay,AU,70.92,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
262,Jalu,LY,57.47,overcast clouds,29.0331,21.5482,صاحبة الفخامة
265,Lodwar,KE,81.77,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
267,Barroso,BR,64.9,overcast clouds,-21.1869,-43.9758,R2 Suítes
268,Ranipur,PK,60.85,clear sky,27.2879,68.5051,Dr. Kadir Bakhsh Memon House
270,Kananga,CD,68.61,light rain,-5.8958,22.4178,Guest House Wood Land
271,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
273,Banepa,NP,41.32,mist,27.6298,85.5214,Dhulikhel Lodge Resort
274,Inirida,CO,77.09,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
275,Kaitangata,NZ,55.22,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
276,Rio Cuarto,AR,62.67,overcast clouds,-33.1307,-64.3499,Hotel Menossi
277,Kupang,ID,76.08,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
278,Soyo,AO,78.8,moderate rain,-6.1349,12.3689,Hotel Mpampa
282,Rio Gallegos,AR,66.25,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
